ts_code,name,score_raw,score_norm,industry,concept,strategy,strategy_short,题材分,技术分,基本面,流通市值(亿),换手率(%),超涨扣分,缺口,涨停次数,连阳,量能,位置,题材,人气,追随,安全,标签,advice,池,PE_TTM,ROE(%),ROE>5%,营收增速(%),3日量比,60日换手均值(%),带宽比(收敛),均线,技术结构,技术加减,MACD发散比,异动日,WR14,同花顺概念1,档位,说明,涨跌幅(%),换手(%),主力净流入(万),主概念
300303.SZ,聚飞光电,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,123.69700777,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.7904,7.6419,7420.96,先进封装
002156.SZ,通富微电,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,954.93266946,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.2587,8.2205,21639.22,集成电路封测
002185.SZ,华天科技,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,592.0965431,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,4.028,10.3649,6558.68,集成电路封测
603005.SH,晶方科技,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,288.52076008,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,0.7745,9.1617,6199.05,集成电路封测
688362.SH,甬矽电子,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,292.74564303,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.806,10.7367,21950.39,集成电路封测
688372.SH,伟测科技,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,268.8573958,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,0.9276,3.7622,1969.93,集成电路封测
688820.SH,盛合晶微,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,297.23685966,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.3274,15.531,9674.06,集成电路封测
000981.SZ,山子高科,90.0,90.0,汽车配件,制造封测,存储IPO供应链,存储,,,,320.60010057,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.2012,2.6394,8089.62,先进封装
000988.SZ,华工科技,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,1648.176548,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.876,7.7245,8178.47,先进封装
300400.SZ,劲拓股份,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,108.453579,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.7954,11.8641,5698.85,先进封装
300037.SZ,新宙邦,90.0,90.0,化工原料,材料与零部件,存储IPO供应链,存储,,,,434.81854434,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.9028,8.7592,21495.03,先进封装
300724.SZ,捷佳伟创,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,211.95919848000003,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.726,3.891,834.95,先进封装
300782.SZ,卓胜微,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,437.98263225,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.0863,4.3238,8022.21,先进封装
301021.SZ,英诺激光,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,163.49610414,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.051,6.305,3059.85,先进封装
688323.SH,瑞华泰,90.0,90.0,塑料,制造封测,存储IPO供应链,存储,,,,90.4509045,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.2696,16.8574,19867.47,先进封装
688392.SH,骄成超声,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,193.54096482,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.6472,4.2435,3947.38,先进封装
688518.SH,联赢激光,90.0,90.0,专用机械,制造封测,存储IPO供应链,存储,,,,98.19923127,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.8628,6.0545,3216.94,先进封装
688802.SH,沐曦股份-U,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,132.1897764,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.0903,9.6323,1920.91,先进封装
301369.SZ,联动科技,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,106.58296544,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,4.2098,3.8405,3777.11,半导体设备
002549.SZ,凯美特气,90.0,90.0,环境保护,材料与零部件,存储IPO供应链,存储,,,,123.44769885,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.6026,7.8339,1612.56,光刻机
688020.SH,方邦股份,90.0,90.0,元器件,制造封测,存储IPO供应链,存储,,,,190.986974,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.0246,9.4091,9619.36,先进封装
603650.SH,彤程新材,90.0,90.0,化工原料,材料与零部件,存储IPO供应链,存储,,,,393.20152866,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.1099,3.9929,1843.35,光刻胶
300456.SZ,赛微电子,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,244.95404900000003,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.3347,4.6008,10314.38,光刻机
603690.SH,至纯科技,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,109.9107541,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,4.3257,8.8866,1509.94,半导体设备
300655.SZ,晶瑞电材,90.0,90.0,半导体,材料与零部件,存储IPO供应链,存储,,,,181.0298144,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.127,8.277,6831.19,光刻胶
688037.SH,芯源微,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,548.426256,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.7393,3.9267,1073.97,半导体设备
688605.SH,先锋精科,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,91.7738899,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,0.8333,6.6139,323.34,半导体设备
600481.SH,双良节能,90.0,90.0,电气设备,半导体设备,存储IPO供应链,存储,,,,103.20908,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.2146,4.6318,2806.86,硅料硅片
000859.SZ,国风新材,90.0,90.0,塑料,半导体设备,存储IPO供应链,存储,,,,103.9273348,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,4.2228,10.6529,8257.95,光刻胶
300398.SZ,飞凯材料,90.0,90.0,化工原料,半导体设备,存储IPO供应链,存储,,,,254.63475032,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.9356,15.3948,10218.97,光刻胶
300576.SZ,容大感光,90.0,90.0,染料涂料,半导体设备,存储IPO供应链,存储,,,,126.39427396,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.9207,13.5595,1989.8,光刻胶
688361.SH,中科飞测,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,843.8933119999999,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.5532,2.5839,13887.26,半导体设备
688079.SH,美迪凯,90.0,90.0,元器件,半导体设备,存储IPO供应链,存储,,,,107.6428947,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.4634,10.8098,7022.31,光刻机
920186.BJ,中科仪,90.0,90.0,机械基件,半导体设备,存储IPO供应链,存储,,,,106.91356851,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸,4.2466,8.0366,,半导体设备
688146.SH,中船特气,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,468.255684,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,1.4766,16.0149,5317.04,光刻机
688195.SH,腾景科技,90.0,90.0,元器件,半导体设备,存储IPO供应链,存储,,,,386.880676,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.48,6.4131,3854.2,光刻机
688307.SH,中润光学,90.0,90.0,元器件,半导体设备,存储IPO供应链,存储,,,,83.75471804,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,-1.7209,6.0192,646.94,光刻机
300346.SZ,南大光电,90.0,90.0,半导体,材料与零部件,存储IPO供应链,存储,,,,415.307269,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.7259,11.5769,556.58,光刻胶
688376.SH,美埃科技,90.0,90.0,专用机械,半导体设备,存储IPO供应链,存储,,,,108.40439785,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.7564,4.1444,13890.84,光刻机
300842.SZ,帝科股份,90.0,90.0,电气设备,半导体设备,存储IPO供应链,存储,,,,103.32294428,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.3405,3.8429,2267.17,存储芯片
